"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.865563060E2,9.220070839E0,-1.558146477E1,-1.853112102E0
2.865663156E2,1.063025570E1,-1.545217800E1,-3.390189648E0
2.865763254E2,1.179144382E1,-1.518402672E1,-5.346252441E0
2.865863047E2,1.331655025E1,-1.390791798E1,-7.079654217E0
2.865963143E2,1.708262825E1,-1.203565216E1,-7.481880188E0
2.866063242E2,2.070266151E1,-1.050815105E1,-6.840234280E0
2.866163035E2,2.275209808E1,-9.174580574E0,-3.988739967E0
2.866263131E2,2.748782921E1,-8.623914719E0,-4.740519226E-1
2.866363230E2,3.591302490E1,-7.486668587E0,2.688688517E0
2.866463023E2,4.216907501E1,-4.824316502E0,4.580107689E0
2.866563119E2,4.641159821E1,-1.326387763E0,3.519476414E0
2.866663217E2,4.795346451E1,2.688688517E0,-2.035071403E-1
2.866763010E2,4.684016037E1,5.796362400E0,-4.141968727E0
2.866863106E2,4.277001953E1,9.081207275E0,-6.777985096E0
2.866963205E2,3.782359695E1,1.091516590E1,-8.477868080E0
2.867062998E2,3.430172729E1,1.206917095E1,-8.892065048E0
2.867163094E2,3.138558960E1,1.310825443E1,-8.659827232E0
2.867263193E2,2.883815956E1,1.351766300E1,-8.561665535E0
2.867362986E2,2.566105461E1,1.347935581E1,-7.572859764E0
2.867463084E2,2.198116493E1,1.291193008E1,-5.863399982E0
2.867563180E2,1.840422821E1,1.206198788E1,-4.048594952E0
2.867662973E2,1.500685596E1,1.142034245E1,-1.604115129E0
2.867763072E2,1.231816769E1,1.103008747E1,2.657563984E-1
2.867863168E2,9.907206535E0,1.082418633E1,1.628057122E0
2.867962961E2,7.781155586E0,1.093910789E1,3.174711466E0
2.868063060E2,6.064512730E0,1.139640045E1,4.376600742E0
2.868163156E2,4.532223701E0,1.184890461E1,5.178658485E0
2.868263254E2,3.835511208E0,1.231816769E1,5.731719017E0
2.868363047E2,3.603273630E0,1.318486881E1,6.023811340E0
2.868463143E2,3.301604033E0,1.404917526E1,6.265625954E0
2.868563242E2,3.179499865E0,1.497573185E1,6.734889507E0
2.868663035E2,3.126827478E0,1.617043877E1,7.726089001E0
2.868763131E2,2.978386879E0,1.683123779E1,8.633491516E0
2.868863230E2,3.797203779E0,1.715684891E1,9.430760384E0
2.868963023E2,4.474762917E0,1.691503525E1,9.895236015E0
2.869063119E2,6.337451935E0,1.610579491E1,1.091755962E1
2.869163217E2,9.210494041E0,1.553597450E1,1.178186703E1
2.869263010E2,1.197819138E1,1.428859615E1,1.147062016E1
2.869363106E2,1.516966152E1,1.310825443E1,1.056082344E1
2.869463205E2,1.885673332E1,1.181299114E1,8.401253700E0
2.869562998E2,2.214636612E1,1.052730465E1,5.530605793E0
2.869663456E2,2.559641075E1,1.006043530E1,3.634398222E0
2.869763554E2,2.689646149E1,1.000297451E1,2.533065319E0
2.869863347E2,2.776316261E1,1.039562416E1,1.525106430E0
2.869963446E2,3.720829010E1,1.074038887E1,1.412578970E-1
2.870063542E2,4.604049683E1,1.109951878E1,-2.360682964E0
2.870163335E2,4.721126175E1,1.048181534E1,-5.904101372E0
2.870263433E2,4.528632355E1,6.232107162E0,-9.354146004E0
2.870363529E2,4.236539841E1,1.642422318E0,-1.016817474E1
2.870463322E2,3.936307144E1,-5.339069963E-1,-9.076418877E0
2.870563421E2,3.637271118E1,-2.133233786E0,-8.820239067E0
2.870663517E2,3.278380203E1,-4.383783340E0,-9.490615845E0
2.870763616E2,2.787569046E1,-5.286397457E0,-9.081207275E0
2.870863409E2,2.492124557E1,-5.762843609E0,-8.066065788E0
2.870963505E2,2.169865036E1,-6.902483463E0,-6.291962147E0
2.871063603E2,1.781046677E1,-8.619126320E0,-2.877830505E0
2.871163396E2,1.469561005E1,-1.055364132E1,1.833958507E0
2.871263492E2,1.257195282E1,-1.247379112E1,6.033388138E0
2.871363591E2,1.070447540E1,-1.403002167E1,7.484274387E0
2.871463384E2,8.212111473E0,-1.513135433E1,8.125920296E0
2.871563480E2,5.870582581E0,-1.543781281E1,7.920019150E0
2.871663579E2,3.957615376E0,-1.573229980E1,6.189011574E0
2.871763372E2,2.023100376E0,-1.628057098E1,3.509899616E0
2.871863468E2,-2.442085743E-1,-1.663251877E1,-2.968810201E-1
2.871963566E2,-3.150769472E0,-1.719276237E1,-4.936843872E0
2.872063359E2,-6.392518520E0,-1.734838486E1,-8.425195694E0
2.872163456E2,-9.761159897E0,-1.753273964E1,-1.028309631E1
2.872263554E2,-1.352963352E1,-1.833479691E1,-1.040998936E1
2.872363347E2,-1.733402061E1,-1.942894745E1,-9.016563416E0
2.872463446E2,-1.914643097E1,-2.024297523E1,-6.370970726E0
2.872563542E2,-1.823184586E1,-2.089419746E1,-3.136404276E0
2.872663335E2,-1.409945393E1,-2.148796082E1,-2.394201607E-2
2.872763433E2,-8.492233276E0,-2.133233643E1,1.735796213E0
2.872863529E2,-1.386242747E0,-2.034832001E1,2.212242365E0
2.872963322E2,4.343081951E0,-1.847605515E1,1.419761658E0
2.873063421E2,6.260837555E0,-1.723585892E1,-1.046266198E0
2.873163517E2,6.928819656E0,-1.686715126E1,-4.448426723E0
2.873263616E2,9.811438560E0,-1.634042740E1,-6.124367714E0
2.873363409E2,1.421198082E1,-1.411142445E1,-5.094861031E0
2.873463505E2,2.050394249E1,-1.195903778E1,-3.869029999E0
2.873563603E2,2.692040443E1,-9.502586365E0,-2.152387381E0
2.873663396E2,3.431130600E1,-6.883329868E0,-9.337386489E-2
2.873763492E2,4.188177109E1,-4.175487995E0,7.613561153E-1
2.873863591E2,4.775474548E1,-3.375824392E-1,2.825157940E-1
2.873963384E2,5.014655304E1,4.204218388E0,-2.408566952E0
2.874063480E2,4.902367401E1,8.240841866E0,-6.677428722E0
2.874163579E2,4.305253601E1,1.086009884E1,-1.086009884E1
2.874263372E2,3.641341400E1,1.213620853E1,-1.302445698E1
2.874363468E2,3.179739189E1,1.213860226E1,-1.357272911E1
2.874463566E2,2.859155655E1,1.196861458E1,-1.187045193E1
2.874563359E2,2.602018356E1,1.145864964E1,-8.978256226E0
2.874663456E2,2.360682869E1,1.086488724E1,-5.741295815E0
2.874763554E2,2.111685944E1,1.035492229E1,-2.896984100E0
2.874863347E2,1.834437370E1,9.959878922E0,-2.801215947E-1
2.874963446E2,1.571075153E1,9.883264542E0,1.211466074E0
2.875063542E2,1.308910084E1,9.933543205E0,2.166752577E0
2.875163335E2,1.088164711E1,1.014902115E1,3.002328873E0
2.875263433E2,8.784325600E0,1.053209305E1,3.797203779E0
2.875363529E2,6.660669327E0,1.080503273E1,4.685452938E0
2.875463322E2,4.613626480E0,1.112106705E1,5.750872612E0
2.875563421E2,2.942473888E0,1.151371574E1,6.936002254E0
2.875663517E2,1.845929503E0,1.197340298E1,7.752425194E0
2.875763616E2,5.913678408E-1,1.270842266E1,8.377311707E0
2.875863409E2,-2.609679997E-1,1.354639339E1,8.698134422E0
2.875963505E2,-6.871358752E-1,1.436281586E1,9.289502144E0
2.876063603E2,-1.939303428E-1,1.525345898E1,9.418789864E0
2.876163396E2,1.671152830E0,1.599087334E1,8.990227699E0
2.876263492E2,3.713406801E0,1.624705315E1,8.978256226E0
2.876363591E2,5.327098846E0,1.578018379E1,9.368511200E0
2.876463384E2,7.144298077E0,1.509783554E1,1.016817474E1
2.876563480E2,9.006986618E0,1.402283955E1,1.076672459E1
2.876663579E2,1.188242340E1,1.263180828E1,1.177468395E1
2.876763372E2,1.595017147E1,1.108994198E1,1.422634697E1
2.876863468E2,2.262999535E1,9.567230225E0,1.693418884E1
2.876963566E2,2.874239159E1,8.801085472E0,1.824860573E1
2.877063359E2,3.222834778E1,7.996633530E0,1.607706451E1
2.877163456E2,3.492900848E1,7.053318024E0,1.208592987E1
2.877263554E2,4.071579361E1,5.432443619E0,7.072471619E0
2.877363347E2,4.661750031E1,3.873818398E0,1.077390760E-1
2.877463446E2,4.827428818E1,3.105279684E0,-6.976703644E0
2.877563542E2,4.475241852E1,5.434837937E-1,-1.300051498E1
2.877663335E2,3.880761719E1,-3.189076662E0,-1.533007336E1
