"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
2.272060976E2,5.231208333E1,4.945811667E0,-4.914233320E0,0.000000000E0,8.997000122E1,4.099999905E0,4.640000153E1
2.282060976E2,5.231209667E1,4.945855000E0,-4.714189749E0,0.000000000E0,8.997000122E1,4.099999905E0,4.670000076E1
2.292060976E2,5.231208333E1,4.945891667E0,-4.514187907E0,6.485499740E-1,9.455000305E1,4.099999905E0,4.490000153E1
2.302060976E2,5.231208167E1,4.945901667E0,-4.514184602E0,0.000000000E0,9.455000305E1,4.099999905E0,4.540000153E1
2.312060976E2,5.231207000E1,4.945918333E0,-4.414191742E0,0.000000000E0,9.455000305E1,4.099999905E0,4.600000000E1
2.322060976E2,5.231206500E1,4.945931667E0,-4.414191288E0,0.000000000E0,9.455000305E1,4.099999905E0,4.529999924E1
2.332060976E2,5.231206833E1,4.945943333E0,-4.414179922E0,0.000000000E0,9.455000305E1,4.099999905E0,4.579999924E1
2.342060976E2,5.231207000E1,4.945951667E0,-4.514172820E0,0.000000000E0,9.455000305E1,4.099999905E0,4.559999847E1
2.352060976E2,5.231207500E1,4.945978333E0,-4.414150568E0,0.000000000E0,9.455000305E1,4.099999905E0,4.609999847E1
2.362060976E2,5.231206833E1,4.945986667E0,-4.314155324E0,0.000000000E0,9.455000305E1,4.099999905E0,4.640000153E1
2.372060976E2,5.231206333E1,4.945991667E0,-4.414159600E0,0.000000000E0,9.455000305E1,4.099999905E0,4.679999924E1
2.382060976E2,5.231206000E1,4.946001667E0,-4.414158667E0,0.000000000E0,9.455000305E1,4.199999809E0,4.740000153E1
2.392060976E2,5.231218000E1,4.946181667E0,-4.413885725E0,0.000000000E0,9.455000305E1,4.000000000E0,4.170000076E1
2.402060976E2,5.231223833E1,4.946280000E0,-4.413746892E0,0.000000000E0,9.455000305E1,3.900000095E0,4.159999847E1
2.412060976E2,5.231224167E1,4.946301667E0,-4.413729849E0,0.000000000E0,9.455000305E1,3.900000095E0,4.170000076E1
2.422060976E2,5.231224333E1,4.946315000E0,-4.413719908E0,0.000000000E0,9.455000305E1,3.900000095E0,4.229999924E1
2.432060976E2,5.231225333E1,4.946341667E0,-4.413690539E0,0.000000000E0,9.455000305E1,3.900000095E0,4.279999924E1
2.442060976E2,5.231227333E1,4.946378333E0,-4.413641262E0,0.000000000E0,9.455000305E1,3.900000095E0,4.329999924E1
2.452060976E2,5.231227333E1,4.946393333E0,-4.413632746E0,0.000000000E0,9.455000305E1,3.900000095E0,4.409999847E1
2.462060976E2,5.231231833E1,4.946455000E0,-4.413533699E0,0.000000000E0,9.455000305E1,3.900000095E0,4.450000000E1
2.472060976E2,5.231231833E1,4.946470000E0,-4.413525184E0,0.000000000E0,9.455000305E1,3.900000095E0,4.529999924E1
2.482060976E2,5.231231833E1,4.946468333E0,-4.313526130E0,0.000000000E0,9.455000305E1,3.900000095E0,4.629999924E1
2.492060976E2,5.231232167E1,4.946485000E0,-4.313511924E0,0.000000000E0,9.455000305E1,3.900000095E0,4.540000153E1
2.502060976E2,5.231233000E1,4.946508333E0,-4.313486819E0,0.000000000E0,9.455000305E1,3.900000095E0,4.340000153E1
2.512060976E2,5.231233500E1,4.946521667E0,-4.213472134E0,0.000000000E0,9.455000305E1,3.900000095E0,4.329999924E1
2.522060976E2,5.231233000E1,4.946540000E0,-4.413468841E0,0.000000000E0,9.455000305E1,3.900000095E0,3.940000153E1
2.532060976E2,5.231233667E1,4.946558333E0,-4.113448946E0,0.000000000E0,9.455000305E1,3.799999952E0,3.940000153E1
2.542060976E2,5.231233833E1,4.946565000E0,-4.113442789E0,0.000000000E0,9.455000305E1,3.799999952E0,4.009999847E1
2.552060976E2,5.231234167E1,4.946570000E0,-4.113435207E0,0.000000000E0,9.455000305E1,3.799999952E0,4.070000076E1
2.562060976E2,5.231235167E1,4.946591667E0,-4.113408675E0,0.000000000E0,9.455000305E1,3.799999952E0,4.140000153E1
2.572060976E2,5.231235167E1,4.946600000E0,-4.113403944E0,0.000000000E0,9.455000305E1,3.799999952E0,4.229999924E1
2.582060976E2,5.231235333E1,4.946610000E0,-4.113395895E0,0.000000000E0,9.455000305E1,3.799999952E0,4.329999924E1
2.592060976E2,5.231235333E1,4.946610000E0,-4.113395895E0,0.000000000E0,9.455000305E1,3.799999952E0,4.409999847E1
2.602060976E2,5.231235333E1,4.946610000E0,-4.113395895E0,0.000000000E0,9.455000305E1,3.799999952E0,4.340000153E1
2.612060976E2,5.231235333E1,4.946610000E0,-4.113395895E0,0.000000000E0,9.455000305E1,3.799999952E0,4.440000153E1
2.622060976E2,5.231235333E1,4.946610000E0,-4.113395895E0,0.000000000E0,9.455000305E1,3.799999952E0,4.540000153E1
2.632060976E2,5.231235333E1,4.946610000E0,-4.113395895E0,0.000000000E0,9.455000305E1,3.900000095E0,4.629999924E1
2.642060976E2,5.231235333E1,4.946610000E0,-4.113395895E0,0.000000000E0,9.455000305E1,3.900000095E0,4.600000000E1
2.652060976E2,5.231235333E1,4.946610000E0,-4.113395895E0,0.000000000E0,9.455000305E1,3.900000095E0,4.579999924E1
2.662060976E2,5.231235333E1,4.946610000E0,-4.113395895E0,0.000000000E0,9.455000305E1,3.900000095E0,4.659999847E1
