"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.936431773E0,-1.723861694E0,-1.021977544E0,2.871066630E-1
1.946462619E0,-2.015855312E0,-6.029239893E-1,9.834930301E-2
1.956420773E0,-2.185065031E0,-1.685988009E-1,-1.142318025E-1
1.966454004E0,-2.164295673E0,1.759291887E-1,-3.604104817E-1
1.976440388E0,-1.911397338E0,4.526511431E-1,-6.310238242E-1
1.986442850E0,-1.474017859E0,6.976081133E-1,-9.321803451E-1
1.996429388E0,-9.560040832E-1,8.845328689E-1,-1.302364707E0
2.006462542E0,-4.190535545E-1,1.086118460E0,-1.706757545E0
2.016418235E0,2.834414840E-1,1.516778350E0,-2.160630465E0
2.026451542E0,5.784893632E-1,1.969429493E0,-2.392148256E0
2.036437927E0,7.727445364E-1,2.436741352E0,-2.610227108E0
2.046470542E0,1.010982037E0,2.856405973E0,-2.824640989E0
2.056426927E0,1.319468975E0,3.188716650E0,-3.069597960E0
2.066459235E0,1.644449234E0,3.403741121E0,-3.329215527E0
2.076446312E0,1.946216702E0,3.560122728E0,-3.567453146E0
2.086448466E0,2.122756720E0,3.682906628E0,-3.764151573E0
2.096435235E0,2.167349815E0,3.771481991E0,-3.831957579E0
2.106465927E0,2.194838762E0,4.023158550E0,-3.705508471E0
2.116424466E0,2.284025192E0,4.203363895E0,-3.431230068E0
2.126458927E0,2.748893499E0,3.536298990E0,-3.039665461E0
2.136444081E0,3.964515448E0,2.457510948E0,-3.028669834E0
2.146446004E0,5.423261642E0,1.791667819E0,-3.690847874E0
2.156433004E0,6.213721275E0,1.331686258E0,-4.470922947E0
2.166465389E0,6.217997551E0,1.252273798E0,-4.803233624E0
2.176421927E0,5.635231972E0,1.541823864E0,-4.756196976E0
2.186454312E0,4.665177822E0,1.883908391E0,-4.585154533E0
2.196441620E0,3.614489555E0,2.195449591E0,-4.392732143E0
2.206441389E0,2.703078747E0,2.461176157E0,-4.180150986E0
2.216430543E0,1.975538254E0,2.715906858E0,-3.901596308E0
2.226462928E0,1.408655286E0,2.915048838E0,-3.525303364E0
2.236419774E0,1.040303469E0,2.858238459E0,-3.045774221E0
2.246452081E0,9.016370773E-1,2.527149439E0,-2.463008642E0
2.256438928E0,9.217956662E-1,2.166128159E0,-1.877799749E0
2.266441005E0,9.608910084E-1,1.886962771E0,-1.442863703E0
2.276428158E0,9.627236128E-1,1.606575608E0,-1.153313637E0
2.286460466E0,9.315695167E-1,1.392772794E0,-9.211847782E-1
2.296447774E0,8.643743396E-1,1.307862520E0,-6.829473376E-1
2.306447466E0,6.798930168E-1,1.352455616E0,-3.029891551E-1
2.316436697E0,5.803219676E-1,1.420872569E0,-4.520402849E-2
2.326469082E0,5.803219676E-1,1.426370382E0,1.533271819E-1
2.336425620E0,6.652322412E-1,1.315803766E0,2.614503205E-1
2.346456082E0,7.825183868E-1,1.051299095E0,3.139847219E-1
2.356445312E0,8.393288255E-1,7.153232098E-1,3.952298164E-1
2.366447851E0,7.232644558E-1,3.604104817E-1,5.455026627E-1
2.376434236E0,4.172209501E-1,1.221730490E-3,8.106181622E-1
