"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.852544543E0,1.851532578E0,7.293730974E-1,-4.153883830E-2
1.862531312E0,1.693318486E0,3.946189582E-1,-3.927863538E-1
1.872533466E0,1.505782843E0,1.295034289E-1,-7.079927921E-1
1.882520312E0,1.301142931E0,-5.681046844E-2,-9.981538057E-1
1.892555389E0,1.076955438E0,-2.119702399E-1,-1.269988894E0
1.902509466E0,8.374962807E-1,-3.762930036E-1,-1.528384805E0
1.912544312E0,5.766568184E-1,-5.632177591E-1,-1.780061364E0
1.922528927E0,2.883284092E-1,-7.757988572E-1,-2.029294252E0
1.932533543E0,-1.649336144E-2,-1.004262447E0,-2.280970812E0
1.942517850E0,-3.103195429E-1,-1.213178396E0,-2.558303595E0
1.952550774E0,-5.736024380E-1,-1.398881435E0,-2.836858273E0
1.962507004E0,-7.898487449E-1,-1.542434692E0,-3.083647728E0
1.972539927E0,-9.651671052E-1,-1.632231951E0,-3.277902842E0
1.982525466E0,-1.111774802E0,-1.693318486E0,-3.404351950E0
1.992528235E0,-1.213789225E0,-1.759902716E0,-3.458108187E0
2.002514774E0,-1.247386813E0,-1.819156647E0,-3.480099201E0
2.012547928E0,-1.181413412E0,-1.842980504E0,-3.505755663E0
2.022534389E0,-1.014036298E0,-1.836260915E0,-3.511253357E0
2.032536620E0,-8.155050874E-1,-1.802663326E0,-3.459329844E0
2.042523389E0,-6.328563690E-1,-1.727526903E0,-3.296839714E0
2.052556312E0,-4.911356568E-1,-1.607797384E0,-3.020117760E0
2.062512543E0,-4.007275999E-1,-1.445307136E0,-2.689639568E0
2.072545235E0,-3.225368559E-1,-1.240667343E0,-2.387261391E0
2.082532543E0,-1.991420686E-1,-1.003040791E0,-2.158797741E0
2.092534774E0,7.024950534E-2,-5.326744914E-1,-1.981035948E0
2.102521466E0,2.651155293E-1,-1.282816976E-1,-1.941940665E0
2.112554389E0,4.502076805E-1,3.213151097E-1,-1.950492740E0
2.122510466E0,6.230825782E-1,7.367035151E-1,-1.961488247E0
2.132543697E0,7.586946487E-1,1.056185961E0,-1.925447226E0
2.142530082E0,8.539896011E-1,1.257771492E0,-1.820989251E0
2.152532312E0,9.254608750E-1,1.312138557E0,-1.660331726E0
2.162519082E0,9.883799553E-1,1.246165156E0,-1.463022232E0
2.172549851E0,1.056796908E0,1.111774802E0,-1.243721604E0
2.182508005E0,1.125824690E0,9.370672703E-1,-1.032973170E0
2.192538774E0,1.169196129E0,7.635815740E-1,-8.429940343E-1
2.202527620E0,1.178969979E0,6.120869517E-1,-6.731734872E-1
2.212527928E0,1.156978726E0,4.685336351E-1,-5.082398653E-1
2.222516620E0,1.119105101E0,3.439171314E-1,-3.445279896E-1
2.232547313E0,1.086729288E0,2.736676335E-1,-2.144137025E-1
2.242505774E0,1.052520871E0,2.724458873E-1,-1.417207420E-1
2.252538390E0,1.002429843E0,3.323107064E-1,-1.014036313E-1
2.262525159E0,9.309586287E-1,4.257730842E-1,-7.513642311E-2
2.272557774E0,8.460483551E-1,5.589417219E-1,-6.169738993E-2
2.282514159E0,7.470881939E-1,7.128797174E-1,-6.658431143E-2
2.292547005E0,6.218608022E-1,8.613200188E-1,-6.719517708E-2
2.302533774E0,4.605923891E-1,9.871582389E-1,-5.681046844E-2
2.312536005E0,2.712241709E-1,1.093448758E0,-3.909537569E-2
2.322522774E0,8.063421398E-2,1.149037480E0,1.221730490E-3
2.332555390E0,-8.552113175E-2,1.145372391E0,5.497787148E-2
2.342511698E0,-2.364048511E-1,1.096503139E0,1.105666086E-1
2.352544544E0,-3.842342496E-1,1.022588372E0,1.704314053E-1
2.362531313E0,-5.265658498E-1,9.462302923E-1,2.486221492E-1
2.372533775E0,-6.548475623E-1,8.503243923E-1,3.469714522E-1
2.382520236E0,-8.295549750E-1,6.878342628E-1,4.941899776E-1
2.392552852E0,-9.419541955E-1,5.662720799E-1,5.827654600E-1
2.402509467E0,-1.065348983E0,3.940080702E-1,6.756169796E-1
2.412542082E0,-1.221119642E0,2.009746730E-1,7.599163651E-1
2.422528852E0,-1.420872569E0,-3.665191587E-3,8.283332586E-1
2.432531005E0,-1.649947047E0,-2.217440903E-1,8.478809595E-1
2.442517852E0,-1.879632354E0,-4.783074856E-1,8.222246170E-1
2.452550698E0,-2.079385281E0,-7.812966704E-1,7.605272532E-1
2.462506775E0,-2.219273329E0,-1.136820197E0,6.499606371E-1
2.472539621E0,-2.276083946E0,-1.530217409E0,4.984660447E-1
2.482526390E0,-2.224771261E0,-1.876578093E0,3.341432810E-1
2.492528852E0,-2.040900707E0,-2.187508345E0,1.661553532E-1
2.502515390E0,-1.729970336E0,-2.415971994E0,4.764748737E-2
2.512548236E0,-1.339627504E0,-2.502714872E0,2.504547499E-2
2.522535006E0,-9.199630618E-1,-2.447736979E0,1.264491081E-1
2.532537236E0,-4.911356568E-1,-2.226603746E0,3.054326177E-1
2.542523929E0,-1.130100712E-1,-1.842369556E0,5.198463202E-1
2.552556852E0,1.582140923E-1,-1.319468975E0,7.666358948E-1
2.562512929E0,3.029891551E-1,-7.501425147E-1,1.050077319E0
2.572545852E0,3.665191531E-1,-2.944370508E-1,1.335962296E0
2.582532621E0,3.671300113E-1,-3.054326214E-2,1.585195303E0
2.592534775E0,3.255911767E-1,1.380555481E-1,1.791667819E0
2.602521467E0,2.852740586E-1,2.101376504E-1,1.899790883E0
2.612552314E0,2.669481039E-1,2.168571651E-1,1.853365183E0
2.622510467E0,2.431243658E-1,1.496619880E-1,1.648725271E0
