"Time (s)","Illuminance (lx)"
5.320932985E2,3.800000000E1
5.321333895E2,3.100000000E1
5.321732960E2,2.200000000E1
5.322134483E2,1.300000000E1
5.322532853E2,5.000000000E0
5.322939302E2,2.000000000E0
5.324932538E2,3.000000000E0
5.325341428E2,5.000000000E0
5.325733988E2,8.000000000E0
5.326133815E2,1.200000000E1
5.326532354E2,1.600000000E1
5.326933464E2,1.900000000E1
5.328532667E2,1.700000000E1
5.328933680E2,1.400000000E1
5.329332504E2,1.200000000E1
5.329732567E2,1.000000000E1
5.330139634E2,8.000000000E0
5.330933384E2,7.000000000E0
5.332132776E2,6.000000000E0
5.333732659E2,7.000000000E0
5.334133000E2,1.100000000E1
5.334533179E2,1.600000000E1
5.334943166E2,2.000000000E1
5.335333013E2,2.300000000E1
5.336133191E2,2.400000000E1
5.338134010E2,2.500000000E1
5.339334631E2,2.400000000E1
5.339741782E2,2.200000000E1
5.340133092E2,1.900000000E1
5.340532733E2,1.500000000E1
5.340933102E2,1.100000000E1
5.341333332E2,7.000000000E0
5.341732932E2,3.000000000E0
5.342139465E2,1.000000000E0
5.342532927E2,0.000000000E0
5.344132797E2,3.000000000E0
5.344539763E2,8.000000000E0
5.344935267E2,1.400000000E1
5.345334274E2,1.900000000E1
5.345734554E2,2.200000000E1
5.347334520E2,2.000000000E1
5.347733821E2,1.900000000E1
5.348132890E2,1.700000000E1
5.348532859E2,1.600000000E1
5.348932750E2,1.300000000E1
5.349339437E2,1.100000000E1
5.349732830E2,1.000000000E1
5.350534680E2,9.000000000E0
5.351332988E2,8.000000000E0
5.351741073E2,7.000000000E0
5.352134554E2,8.000000000E0
5.352934827E2,6.000000000E0
5.353333213E2,5.000000000E0
5.356133243E2,6.000000000E0
5.356539283E2,8.000000000E0
5.356932812E2,1.000000000E1
5.357332696E2,1.400000000E1
5.357732830E2,1.800000000E1
5.358135144E2,2.400000000E1
5.358534735E2,2.700000000E1
5.358939604E2,2.800000000E1
5.360133083E2,2.700000000E1
5.360533204E2,2.000000000E1
5.360933142E2,1.300000000E1
